Unique number,"Возраст, полных лет",Гражданство,Стаж вождения,Пол,КБМ,Город,Марка,Модель,Тип ТС ,Год выпуска,Расположение руля,Объём двигателя,Цвет,Период страхования,Страховая премия,Льготы,Дата проишествия,Регион ДТП,Сумма убытка
086caf2410a567d5429cba3ed5e6f70d,34,Казахстан,16,М,8,Кокшетау,B5,Audi,Легковые автомобили,01/12/1995,Слева,1781,зелёный,29.05.2013-21.02.2014,5517,,,,
08e57fc6bda04a5fd73caed2c8659bda,38,Казахстан,15,М,3,Нур-Султан,A6,Audi,Легковые автомобили,01/12/2008,Слева,2393,серебристый,02.06.2013-01.12.2013,7582,,,,
08eef851ead6d993b567d0611b94987e,30,Казахстан,11,Ж,9,Атбасар,80,Audi,Легковые автомобили,01/01/1993,Слева,1900,серый,26.05.2013-25.05.2014,5988,,,,
09291527f769308125b75609b0ee2812,37,Казахстан,13,М,9,Петропавловск,80,Audi,Легковые автомобили,01/01/1988,Слева,1760,зелёный,24.06.2013-23.06.2014,7039,,,,
093ae4973cb82196fda619c60eb691e6,36,Казахстан,17,М,6,"Атбасар,Атбасар",С4,Audi,Легковые автомобили,01/01/1991,Слева,2000,синий,04.06.2013-03.06.2014,7186,,,,
096e6c9d2ad4e67688f11e777162aa39,52,Казахстан,28,М,8,Раздольное,С4,Audi,Легковые автомобили,01/12/1994,Слева,2598,серый,26.06.2013-25.12.2013,5254,,,,
097786ca602e086e3cfde35c2ee71bff,41,Казахстан,19,М,5,Атбасар,100 C4,Audi,Легковые автомобили,01/12/1991,Слева,2300,серебристый металлик архивный,23.05.2013-22.11.2013,3623,,,,
0a3a1e71a726f4744afbdb2ef1357148,30,Казахстан,11,М,5,Петропавловск,80,Audi,Легковые автомобили,01/12/1991,Слева,1595,светло-зелёный,13.06.2013-21.05.2014,8930,,28/09/2013,Петропавловск,46612
0a3a1e71a726f4744afbdb2ef1357148,30,Казахстан,11,М,5,Петропавловск,80,Audi,Легковые автомобили,01/12/1991,Слева,1595,светло-зелёный,22.05.2013-21.05.2014,9503,,,,
0a44861ba30cc31e0fc5ceda0ac71190,40,Казахстан,18,М,5,Кокшетау,.,Audi,Легковые автомобили,01/12/1996,Слева,2598,черный,08.06.2013-07.12.2013,4742,,,,
0ace8c10dd10935020a8a90607760209,38,Казахстан,20,М,8,Петропавловск,80,Audi,Легковые автомобили,01/12/1991,Слева,1800,серый металлик,20.06.2013-19.06.2014,7542,,,,
0b637b1f2af75cfdc9cbec2be4b9a9f7,50,Казахстан,23,М,8,Костанай,B4,Audi,Легковые автомобили,01/01/1994,Слева,2000,зеленый металлик,14.06.2013-13.06.2014,11058,,,,
0b637b1f2af75cfdc9cbec2be4b9a9f7,50,Казахстан,23,М,8,Костанай,B4,Audi,Легковые автомобили,01/01/1994,Слева,2000,зеленый металлик,22.06.2013-21.06.2014,11058,,,,
0c0fb5254a24e9593f08ff8d5d5a88ac,51,Казахстан,20,М,9,Атбасар,С4,Audi,Легковые автомобили,01/01/1995,Слева,2000,синий,02.07.2013-01.07.2014,2795,Инвалид ,,,
0c45533469faece6518a72b7983d32d3,54,Казахстан,10,М,5,Шымкент,С4,Audi,Легковые автомобили,01/12/1992,Слева,2309,зелёный,25.06.2013-25.12.2013,3465,,,,
0c6674c31f5b322ee13782932c8d2737,35,Казахстан,6,М,7,Алматы,A6,Audi,Легковые автомобили,01/12/2005,Слева,2393,черный металлик,21.05.2013-20.05.2014,17905,,,,
0d3e49e005495785bf0bda81d101d93d,31,Казахстан,9,М,3,"Атбасар,Атбасар",80,Audi,Легковые автомобили,01/12/1990,Слева,1984,белый,08.06.2013-07.12.2013,4003,,,,
0dbbb99b386c13529b0b7d7ea361aecd,53,Казахстан,20,М,8,Петропавловск,B4,Audi,Легковые автомобили,01/12/1994,Слева,2000,фиолетовый металлик,25.05.2013-24.05.2014,7542,,,,
0dc702ef13e47f0edf9ab207a458f551,40,Казахстан,10,М,5,Петропавловск,B4,Audi,Легковые автомобили,01/12/1992,Слева,1984,синий,08.06.2013-25.05.2014,6983,,,,
0dc702ef13e47f0edf9ab207a458f551,40,Казахстан,10,М,5,Петропавловск,B4,Audi,Легковые автомобили,01/12/1992,Слева,1984,синий,25.05.2013-24.05.2014,7241,,,,
0e07049005ae32c54825a3fa2cad86ae,57,Казахстан,11,М,8,Алматы,A6,Audi,Легковые автомобили,01/12/1996,Слева,2598,черный,21.06.2013-08.05.2014,16783,,,,
0fb6df361ae1af4e1b779072a2116b3e,44,Казахстан,10,М,8,Петропавловск,80,Audi,Легковые автомобили,01/12/1990,Слева,1800,синий,03.06.2013-02.12.2013,3781,,,,
0fbcb969c0eb4e7a768d768e6e690b8a,58,Казахстан,13,М,9,"Атбасар,Атбасар",B4,Audi,Легковые автомобили,01/12/1992,Слева,1700,серый,01.06.2013-31.05.2014,7985,,,,
0fc9b52ad896caeecb4ecb96f2a6732d,45,Казахстан,14,М,7,Павлодар,100,Audi,Легковые автомобили,01/12/1991,Слева,2000,серый металлик,23.06.2013-22.12.2013,4943,,,,
111b680be73de331c0e053c04c3be226,41,Казахстан,24,М,9,Костанай,100,Audi,Легковые автомобили,01/12/1992,Слева,2598,темно-синий металлик,18.06.2013-17.06.2014,10321,,,,
116bfb39781c3892da92094cf6a72f3f,34,Казахстан,14,Ж,3,"Атбасар,Атбасар",B5,Audi,Легковые автомобили,01/12/1996,Слева,1781,серый,29.06.2013-28.12.2013,4003,,,,
11b3fd9e25a8e648446b727ed8b021a4,43,Казахстан,21,М,8,Алматы,Allroad,Audi,Легковые автомобили,01/12/2002,Слева,2700,черный,03.06.2013-07.05.2014,14173,,,,
11d5cfa1516d4fdf357b2821ac1c7be1,53,Казахстан,21,М,9,Петропавловск,B4,Audi,Легковые автомобили,01/01/1991,Слева,2000,белый,15.06.2013-14.06.2014,11062,,,,
11e5a4de75d31fed7dbb6bb9357e739e,34,Казахстан,13,М,3,Алматы,100,Audi,Легковые автомобили,01/12/1993,Слева,2598,серебристый металлик архивный,02.07.2013-02.03.2014,14962,,,,
123216cdd038880145dd345b15a3164d,61,Казахстан,29,М,9,Нур-Султан,A4 B5,Audi,Легковые автомобили,01/12/1996,Слева,1800,темно-серый металлик архивный,09.06.2013-08.06.2014,8676,,,,
12840f3edc1c399309a2bf9957fcaa6c,34,Казахстан,15,М,8,Караганда,100,Audi,Легковые автомобили,01/12/1991,Слева,2000,белый,15.06.2013-14.12.2013,4479,,,,
1285dca999ee266c587917f8683e37a4,40,Казахстан,15,М,8,Жаксы,С4,Audi,Легковые автомобили,01/01/1995,Слева,2000,белый,07.06.2013-06.06.2014,7186,,,,
12dfc009fca207e78cf389dcb3c01c26,47,Казахстан,20,М,7,"Атбасар,Атбасар",A4,Audi,Легковые автомобили,01/12/1997,Слева,2800,серебристый металлик архивный,08.06.2013-07.12.2013,3203,,,,
135a49f0f28972a0a22549d3abce0e7e,44,Казахстан,12,М,7,Киима,80,Audi,Легковые автомобили,01/12/1991,Слева,1984,красный,06.06.2013-22.01.2014,4043,,,,
13a0c9bf0d39f16e54f157fa6606d458,63,Казахстан,31,М,8,Актобе,80,Audi,Легковые автомобили,01/12/1990,Слева,1781,серебристый,10.06.2013-09.06.2014,7656,,,,
13a7f961c6ed6fdb6a5952e3184eb4f6,61,Казахстан,20,М,9,Атбасар,B4,Audi,Легковые автомобили,01/01/1994,Слева,1900,синий,12.06.2013-11.06.2014,6388,,,,
13ccc6756f2554ef5ad27d78c1d2286c,28,Казахстан,10,М,6,Калининское,B4,Audi,Легковые автомобили,01/12/1993,Слева,1984,вишневый металлик,15.07.2013-14.07.2014,7126,,,,
13f26cceb8e0ceee9841ae61895db64d,34,Казахстан,16,М,8,Павлодар,100 C4,Audi,Легковые автомобили,01/01/1991,Слева,2771,синий металлик,30.05.2013-29.05.2014,9244,,,,
14133f4be064f7d3ab1d3d22841152be,55,Казахстан,19,М,8,Кокшетау,A6,Audi,Легковые автомобили,01/12/1995,Слева,1984,вишневый металлик,27.05.2013-26.11.2013,3802,,,,
14c2dccf17aadcd856a1de88b5ac0ae3,59,Казахстан,42,М,9,Актобе,80,Audi,Легковые автомобили,01/12/1988,Слева,1760,серебристый,20.06.2013-19.06.2014,7145,,,,
14cf0e200d03a33635b912985d3ebd4d,42,Казахстан,17,М,6,Кызылорда,С4,Audi,Легковые автомобили,01/12/1994,Слева,1984,черный металлик,11.06.2013-10.01.2014,4107,,,,
1531000f8222d21d1b786d08fd8d35a7,29,Казахстан,8,М,5,"Борисовка,Борисовка",80,Audi,Легковые автомобили,01/01/1988,Слева,1570,мокрый асфальт,07.06.2013-06.06.2014,7545,,,,
1546e8713a7f24746d3c256810cc28a8,39,Казахстан,10,М,6,Нур-Султан,С4,Audi,Легковые автомобили,01/12/1992,Слева,2800,темно-синий металлик,21.05.2013-20.11.2013,7128,,,,
155a9ac274cb6925f8675acedda3e269,34,Казахстан,8,М,5,Мамлютка,80,Audi,Легковые автомобили,01/12/1986,Слева,1690,серый металлик,25.05.2013-24.05.2014,9051,,,,
15ed5e612f84a891bb75974f273f5373,42,Казахстан,16,Ж,5,Алматы,A4,Audi,Легковые автомобили,01/12/1997,Слева,1595,синий металлик,20.06.2013-19.06.2014,20143,,,,
18c73a27f07d718621b038cd4c67ae57,45,Казахстан,19,М,9,Атбасар,100 C4,Audi,Легковые автомобили,01/12/1993,Слева,1984,черный,26.05.2013-25.05.2014,5589,,,,
1ab1fda41ddd64f2a44d955514f838f9,56,Казахстан,31,М,9,Нур-Султан,A6,Audi,Легковые автомобили,01/01/1997,Слева,2400,серый металлик,19.06.2013-18.06.2014,15720,,,,
1afa374ad63fc594e2bd2310e4c93430,33,Казахстан,15,М,9,Петропавловск,4B,Audi,Легковые автомобили,01/12/1998,Слева,2496,синий металлик,12.06.2013-23.06.2013,174,,,,
1b5d201a04039d54891108362c78babf,66,Казахстан,11,М,9,Алматы,100,Audi,Легковые автомобили,01/12/1989,Слева,2309,черный металлик,30.05.2013-29.05.2014,15667,,,,
1b6aa0cac792d260aefbb6aff9efc642,52,Казахстан,20,М,9,Алматы,Allroad,Audi,Легковые автомобили,01/12/2001,Слева,2700,серый металлик,22.06.2013-21.06.2014,15667,,,,
1b7ce576d5c5290791ce22906d81c35e,71,Казахстан,53,М,8,Костанай,С4,Audi,Легковые автомобили,01/12/1992,Слева,2800,белый,21.05.2013-20.11.2013,2787,Инвалид ,,,
1c14a4d1455f0312d045c49d886c013d,65,Казахстан,14,М,8,Алматы,80,Audi,Легковые автомобили,01/12/1990,Слева,1800,белый,22.05.2013-21.05.2014,16786,Инвалид ,,,
1d0cecffd93b228a6b70a6b773099d1f,30,Казахстан,11,М,5,Лисаковск,B4,Audi,Легковые автомобили,01/12/1992,Слева,1984,темно-синий,22.05.2013-21.11.2013,5619,,,,
1dd061b078ff5b2c589f10167f8e3523,45,Казахстан,14,М,8,Атбасар,100 C4,Audi,Легковые автомобили,01/01/1994,Слева,2461,белый,22.05.2013-21.05.2014,5988,,,,
1dd3c36a8c09bddc17642ff70b141e5e,48,Казахстан,14,М,9,"Жаксы,Жаксы",B4,Audi,Легковые автомобили,01/01/1992,Слева,2000,светло-зелёный металлик,04.06.2013-03.06.2014,5589,,,,
1eeed52cd68ae1e64cec4fe455376212,57,Казахстан,19,М,7,Атбасар,80,Audi,Легковые автомобили,01/12/1991,Слева,1800,темно-синий металлик,28.05.2013-27.05.2014,6388,,,,
1f0080fe312a7da0ad8f55c2b44f6edf,56,Казахстан,39,М,8,Есиль,С4,Audi,Легковые автомобили,01/12/1997,Слева,2598,синий,28.06.2013-27.06.2014,5988,,,,
1fa6cf288373cd08ed9ed12276031998,51,Казахстан,19,М,7,Алматы,100,Audi,Легковые автомобили,01/12/1990,Слева,1970,бордовый,22.05.2013-21.05.2014,17905,,,,
1fad3be8b57368d1350cebcdb6b14d0b,52,Казахстан,20,М,7,Алматы,100,Audi,Легковые автомобили,01/12/1992,Слева,2800,темно-бордовый металлик,29.06.2013-28.06.2014,17905,,,,
1fdeded3b479bbc84f6bce6b908bbbef,33,Казахстан,13,М,6,Алматы,100,Audi,Легковые автомобили,01/12/1993,Слева,2309,темно-зеленый металлик,19.06.2013-18.06.2014,8548,,,,
20191e7e607f5fda7de6fe1a94363f8f,48,Казахстан,30,М,9,Костанай,A6,Audi,Легковые автомобили,01/12/2000,Слева,2800,серебристый,15.06.2013-14.06.2014,14597,,,,
205c132277644bcb66134863fadff7b5,37,Казахстан,14,М,6,Нур-Султан,100 C4,Audi,Легковые автомобили,01/12/1992,Слева,2598,серебристый металлик архивный,16.06.2013-15.12.2013,7089,,,,
2093c05ea290b29683fd89979f23bfc9,30,Казахстан,12,М,8,Нур-Султан,A6,Audi,Легковые автомобили,01/12/1994,Слева,2598,серебристый,21.06.2013-20.12.2013,3153,,,,
20f97510d3771f939afb10c51a2ed69f,37,Казахстан,20,М,3,Горняцкий,B4,Audi,Легковые автомобили,01/12/1992,Слева,1984,зеленый металлик,03.07.2013-02.07.2014,12385,,,,
221df9c0972591cf226196d55fe40670,45,Казахстан,7,М,4,"Атбасар,Атбасар",B4,Audi,Легковые автомобили,01/12/1992,Слева,1984,серый,21.06.2013-20.06.2014,7965,,,,
222d861920bd539de8fdb1ce5ebfbf8b,54,Казахстан,18,М,5,Кокшетау,89,Audi,Легковые автомобили,01/01/1991,Слева,1800,зелёный,12.06.2013-11.12.2013,4504,,,,
222db543b5c6d22956f32fddd0159de6,28,Казахстан,6,М,3,Нур-Султан,80,Audi,Легковые автомобили,01/12/1993,Слева,1984,черный,30.06.2013-29.06.2014,18298,,,,
225f274cc5bf680855c917169ba62eef,53,Казахстан,35,М,5,Костанай,С4,Audi,Легковые автомобили,01/12/1992,Слева,2000,серебристый металлик архивный,26.06.2013-25.06.2014,13933,,,,
22b4915f055dd32687df70af2ba822b9,35,Казахстан,11,М,9,Кокшетау,80,Audi,Легковые автомобили,01/12/1991,Слева,1781,красный,19.06.2013-18.06.2014,6987,,,,
233b8159379f96807722213c46cf630c,57,Казахстан,20,М,8,Новоалександровка,80,Audi,Легковые автомобили,01/12/1992,Слева,1590,черный,12.06.2013-11.06.2014,7545,,,,
2468d324a5fb1bddccecf00d1db460ea,70,Казахстан,19,М,9,"Атбасар,Атбасар",100,Audi,Легковые автомобили,01/01/1989,Слева,2000,красный,11.06.2013-10.06.2014,2795,Инвалид ,,,
253922151dc58a0873d89a9794b73776,32,Казахстан,11,М,6,"Талгар,Талгар",A6,Audi,Легковые автомобили,01/12/2002,Слева,2393,синий металлик,24.05.2013-02.02.2014,6394,,,,
25e87ce4ab70c4921c0de932ce302383,35,Казахстан,13,М,6,Кокшетау,B4,Audi,Легковые автомобили,01/01/1994,Слева,2309,вишневый металлик,24.05.2013-23.11.2013,4277,,,,
25f655aeee979fd8bbd206c71b5c1d5f,38,Казахстан,17,М,3,"Атбасар,Атбасар",С4,Audi,Легковые автомобили,01/01/1992,Слева,1900,бежевый,13.06.2013-12.12.2013,4003,,,,
25f655aeee979fd8bbd206c71b5c1d5f,38,Казахстан,17,М,8,"Атбасар,Атбасар",С4,Audi,Легковые автомобили,01/01/1992,Слева,1900,бежевый,26.06.2013-25.06.2014,5988,,,,
2639c10929e5068b47734368c4ccc697,60,Казахстан,39,М,8,Павлодар,80,Audi,Легковые автомобили,01/01/1987,Слева,1800,серебристый металлик архивный,21.06.2013-20.06.2014,9244,,,,
2651ed96f4d2f9e9e57ddd737e839b3a,58,Казахстан,11,М,6,Алматы,100,Audi,Легковые автомобили,01/12/1993,Слева,2598,бордовый,21.05.2013-20.05.2014,19024,,,,
26cf0b3f0393e6ac38aa1c8cee5a77bb,42,Казахстан,20,М,8,Петропавловск,A6,Audi,Легковые автомобили,01/12/1999,Слева,2400,зелёный,08.06.2013-07.06.2014,8045,,,,
26e86725343bfa42adf77128a3e79caf,64,Казахстан,9,М,8,Атбасар,B5,Audi,Легковые автомобили,01/01/1998,Слева,1600,синий,26.06.2013-25.06.2014,5988,,,,
27a98009e42db5b9b81462cb28e5b778,59,Казахстан,6,М,3,Атбасар,100 C4,Audi,Легковые автомобили,01/12/1991,Слева,2000,синий,21.06.2013-20.12.2013,4203,,,,
27abfe227e4e6f9efa5985e577449047,48,Казахстан,9,М,8,Кокшетау,100,Audi,Легковые автомобили,01/12/1991,Слева,2771,красный,22.06.2013-21.12.2013,1877,,,,
2818f14b3390e994a5465d9357a44c3c,38,Казахстан,14,М,9,Петропавловск,80 B4,Audi,Легковые автомобили,01/12/1992,Слева,1984,желтый,28.05.2013-27.11.2013,3549,,,,
2885b372570e273ccd4c8620d27a33e9,58,Казахстан,10,М,8,Нур-Султан,80 B4,Audi,Легковые автомобили,01/12/1991,Слева,1984,серебристый металлик архивный,28.06.2013-27.06.2014,14846,,,,
28d38ec98f8f90ca30c7d4b6d2cd5edd,48,Казахстан,15,М,9,Нур-Султан,B5,Audi,Легковые автомобили,01/12/1996,Слева,1781,черный,28.06.2013-27.06.2014,18298,,,,
29feb00e78b275cd9a9ef93c8ca55f98,66,Казахстан,44,М,3,Двуречное,B4,Audi,Легковые автомобили,01/09/1992,Слева,1984,серый металлик,14.06.2013-13.06.2014,7985,,,,
2aa9f9573f4e46791e958d857cc137bc,45,Казахстан,21,М,9,Максимовка,80 B4,Audi,Легковые автомобили,01/01/1992,Слева,1984,синий,12.06.2013-11.06.2014,6388,,,,
2aafd36794de5049a7d2602710b01405,38,Казахстан,10,Ж,8,Тепличное,B4,Audi,Легковые автомобили,01/01/1991,Слева,2000,серый,26.05.2013-25.05.2014,6034,,,,
2abe506ff1ce97b67c11491d20878c75,72,Казахстан,43,М,9,Костанай,B4,Audi,Легковые автомобили,01/01/1994,Слева,1600,черный металлик,23.06.2013-22.06.2014,14007,Инвалид ,,,
2ac11ca4366f129875ae486093daea91,44,Казахстан,7,Ж,4,"Атбасар,Атбасар",A6,Audi,Легковые автомобили,01/12/2000,Слева,2000,серебристый металлик архивный,26.06.2013-25.06.2014,7965,,,,
2b36b9495771120642957655f39fbe84,59,Казахстан,19,М,9,Кокшетау,С4,Audi,Легковые автомобили,01/01/1996,Слева,2598,синий металлик,27.05.2013-26.05.2014,6987,,,,
2b3928dc82489904be2d75290be3a63c,54,Казахстан,19,М,7,Уральск,A3,Audi,Легковые автомобили,01/12/1997,Слева,1800,синий,13.06.2013-12.06.2014,7077,,,,
2c4bb52bae759c4b82dd7686957e06bf,37,Казахстан,19,М,8,"Садовое,Садовое",100 C4,Audi,Легковые автомобили,01/01/1994,Слева,2000,белый,18.06.2013-17.12.2013,3203,,,,
2d0ac1fe97ea71b32913ed5c4d488372,65,Казахстан,20,М,9,Актобе,100,Audi,Легковые автомобили,01/12/1992,Слева,2771,бордовый металлик,13.06.2013-12.06.2014,10208,,,,
2d645f9965e82d31e4c98d049cbdda61,72,Казахстан,8,М,9,"Есиль,Есиль",С4,Audi,Легковые автомобили,01/01/1994,Слева,2800,красный,01.06.2013-31.05.2014,2795,Инвалид ,,,
2dbcec95333c591c5699814f0ba8af11,69,Казахстан,20,М,8,"Свободное,Свободное",B4,Audi,Легковые автомобили,01/12/1994,Слева,1984,бордовый металлик,01.06.2013-31.05.2014,2994,Инвалид ,,,
2deff6148175f9c55a69c4174ee7f21c,30,Казахстан,12,М,4,Нур-Султан,A4,Audi,Легковые автомобили,01/12/1996,Слева,1780,серебристый,03.07.2013-03.01.2014,8410,,10/10/2013,Нур-Султан,15721
2df5a3fd8861352c934621146f7d76be,48,Казахстан,20,М,9,Актобе,Avant Quattro,Audi,Легковые автомобили,01/12/2000,Слева,2771,зелёный,16.06.2013-15.06.2014,7656,,,,
2e611fdd6779e51506ea207b18f37bfb,59,Казахстан,21,М,9,Уральск,A6,Audi,Легковые автомобили,01/01/1996,Слева,2597,белый,19.06.2013-21.04.2014,5209,,,,
2e957efeb77a87022f82940470c819d2,36,Казахстан,18,М,9,Петропавловск,С4,Audi,Легковые автомобили,01/12/1994,Слева,2598,красный,23.05.2013-22.05.2014,7039,,,,
2f77f5d0bfc6b6ac3d33e94f59dea4dd,52,Казахстан,34,М,9,Есенгельды,80,Audi,Легковые автомобили,01/12/1994,Слева,1984,серый,14.06.2013-13.06.2014,5589,,,,
2f9a72b854ad1ceb2ff9187b06ad0ed4,57,Казахстан,19,М,6,Петропавловск,С4,Audi,Легковые автомобили,01/12/1995,Слева,2771,серебристый металлик архивный,02.07.2013-01.01.2014,4309,,,,
2facce947835cfd503ebccc393231d2b,30,Казахстан,12,М,3,Атбасар,B4,Audi,Легковые автомобили,01/12/1994,Слева,2000,темно-фиолетовый,27.06.2013-26.06.2014,8384,,,,
30e0a36e7f6a95a641bcacbef4bea1f1,34,Казахстан,16,М,8,Петропавловск,С4,Audi,Легковые автомобили,01/12/1994,Слева,2598,серебристый,22.06.2013-21.12.2013,3781,,,,
31174f5ff1e611701542240deeeb8fde,41,Казахстан,15,М,6,Алматы,A6,Audi,Легковые автомобили,01/12/2001,Слева,2393,серебристый,22.06.2013-21.09.2013,5641,,,,
3147047f62b02328ec46b981e5606ff4,32,Казахстан,2,М,8,Алматы,80,Audi,Легковые автомобили,01/12/1995,Слева,1984,черный металлик,13.06.2013-07.02.2014,14680,,,,
318dd460fd53c752d6f0b70bf64275a1,55,Казахстан,16,М,8,Жаксы,80,Audi,Легковые автомобили,01/12/1989,Слева,1760,черный,19.06.2013-18.06.2014,7545,,,,
31ab4239a21955e5f0bf35cc7ba0173a,46,Казахстан,19,М,9,Алматы,A6,Audi,Легковые автомобили,01/01/1997,Слева,2771,темно-серый металлик архивный,11.06.2013-10.06.2014,15667,,,,
31ed056d1424e5285a4e2c6cec4a68a2,61,Казахстан,20,М,9,Петропавловск,С4,Audi,Легковые автомобили,01/01/1991,Слева,2000,синий,28.06.2013-27.06.2014,8548,,,,
32279b0b0ef89bf42838d67e51af5cb2,46,Казахстан,29,М,9,Актобе,90,Audi,Легковые автомобили,01/01/1990,Слева,2000,серый,18.06.2013-17.06.2014,7145,,,,
326bd0b2a00bd1d96b76d9fe6beaa64c,42,Казахстан,23,Ж,9,Костанай,89,Audi,Легковые автомобили,01/12/1991,Слева,2000,черный металлик,23.06.2013-22.12.2013,11458,,,,
334bb9867e59aefebdf9c0afc8fba4be,50,Казахстан,33,М,9,Петропавловск,A6,Audi,Легковые автомобили,01/12/1995,Слева,2771,зелёный,26.06.2013-24.12.2013,3510,,,,
33ada5d80318d2d29ce358ecd95690ac,56,Казахстан,2,М,8,Алматы,A4,Audi,Легковые автомобили,01/12/2008,Слева,1798,серебристый,20.06.2013-16.01.2014,8821,,,,
341331189ae0d9c3ba921e164398c420,37,Казахстан,19,М,9,Уральск,С4,Audi,Легковые автомобили,01/01/1992,Слева,2400,серый,07.06.2013-06.06.2014,8404,,,,
