pair_id,a_age,a_education,a_location,a_career_field,a_career_ambition,a_openness,a_extraversion,a_agreeableness,a_conscientiousness,a_chronotype,a_spontaneity,a_love_language,a_emotional_expressiveness,b_age,b_education,b_location,b_career_field,b_career_ambition,b_openness,b_extraversion,b_agreeableness,b_conscientiousness,b_chronotype,b_spontaneity,b_love_language,b_emotional_expressiveness,compatibility_score,compatible,relationship_longevity_months
23,42,3,Urban,Marketing,0.55,0.31,0.54,0.21,0.36,0.67,0.94,Physical Touch,0.39,45,4,Suburban,Tech,0.57,0.32,0.56,0.27,0.8,0.76,0.06,Acts of Service,0.37,69.6,1,72
24,44,2,Rural,Science,0.3,0.32,0.19,0.5,0.63,0.22,0.6,Receiving Gifts,0.62,34,3,Urban,Marketing,0.26,0.58,0.64,0.26,0.69,0.62,0.6,Acts of Service,0.35,53.0,0,34
25,45,4,Urban,Education,0.59,0.32,0.54,0.42,0.25,0.78,0.62,Acts of Service,0.52,52,5,Suburban,Creative Arts,0.63,0.28,0.17,0.24,0.36,0.86,0.47,Acts of Service,0.0,71.0,1,94
26,33,2,Urban,Tech,0.2,0.7,0.23,0.52,0.44,0.63,0.24,Physical Touch,0.13,40,5,Suburban,Marketing,0.76,0.47,0.22,0.85,0.83,0.62,0.53,Quality Time,0.52,67.5,1,120
27,32,4,Urban,Finance,0.48,0.94,0.4,0.59,0.28,0.33,0.9,Physical Touch,0.43,32,4,Urban,Entrepreneurship,0.52,0.35,0.91,0.79,0.46,0.58,0.91,Receiving Gifts,0.32,69.2,1,83
28,20,4,Urban,Creative Arts,0.53,0.38,0.75,0.76,0.63,0.34,0.22,Words of Affirmation,0.27,43,1,Urban,Healthcare,0.52,0.58,0.64,0.07,0.37,0.51,0.18,Receiving Gifts,0.39,72.2,1,73
29,54,5,Rural,Marketing,0.47,0.45,0.57,0.26,0.3,0.8,0.8,Quality Time,0.16,35,2,Suburban,Tech,0.54,0.6,0.04,0.39,0.61,0.43,0.33,Words of Affirmation,0.51,62.7,0,64
30,24,3,Urban,Law,0.38,0.68,0.62,0.86,0.39,0.6,0.86,Receiving Gifts,0.46,39,3,Urban,Science,0.49,0.08,0.3,0.55,0.61,0.34,0.67,Receiving Gifts,0.5,66.9,1,85
31,38,1,Rural,Entrepreneurship,0.37,0.11,0.36,0.2,0.24,0.13,0.76,Quality Time,0.44,29,3,Suburban,Science,0.73,0.3,0.35,0.35,0.46,0.64,0.47,Receiving Gifts,0.26,66.2,1,75
32,26,3,Suburban,Marketing,0.41,0.18,0.2,0.47,0.67,0.41,0.81,Acts of Service,0.37,19,5,Suburban,Engineering,0.75,0.08,0.83,0.91,0.82,0.83,0.18,Acts of Service,0.49,64.8,0,76
33,35,2,Urban,Marketing,0.2,0.25,0.78,0.42,0.59,0.68,0.82,Quality Time,0.69,49,4,Suburban,Science,0.63,0.49,0.8,0.47,0.76,0.18,0.4,Words of Affirmation,0.52,52.9,0,65
34,21,1,Urban,Creative Arts,0.11,0.72,0.41,0.18,0.74,0.44,0.77,Acts of Service,0.66,51,3,Rural,Creative Arts,0.55,0.51,0.55,0.07,0.54,0.14,0.04,Acts of Service,0.46,66.9,1,72
35,42,4,Suburban,Law,0.57,0.86,0.64,0.31,0.1,0.94,0.58,Words of Affirmation,0.71,44,3,Suburban,Finance,0.31,0.38,0.61,0.35,0.33,0.47,0.54,Acts of Service,0.45,75.6,1,77
36,31,2,Rural,Tech,0.35,0.2,0.2,0.1,0.19,0.31,0.61,Words of Affirmation,0.46,19,1,Urban,Education,0.24,0.12,0.76,0.36,0.38,0.21,0.63,Receiving Gifts,0.52,71.7,1,41
37,26,3,Suburban,Science,0.34,0.62,0.86,0.15,0.46,0.66,0.41,Acts of Service,0.71,29,3,Suburban,Marketing,0.36,0.52,0.81,0.74,0.22,0.36,0.1,Receiving Gifts,0.38,66.7,1,90
38,43,4,Urban,Science,0.51,0.18,0.23,0.35,0.17,0.9,0.21,Acts of Service,0.6,35,4,Rural,Finance,0.32,0.45,0.65,0.13,0.37,0.19,0.49,Quality Time,0.61,49.5,0,61
39,19,2,Rural,Finance,0.53,0.8,0.5,0.42,0.4,0.91,0.42,Physical Touch,0.77,48,5,Urban,Science,0.61,0.21,0.36,0.32,0.62,0.34,0.75,Acts of Service,0.33,63.5,0,62
40,37,4,Urban,Tech,0.54,0.64,0.52,0.51,0.18,0.75,0.36,Words of Affirmation,0.82,18,4,Urban,Finance,0.63,0.14,0.47,0.73,0.39,0.71,0.9,Words of Affirmation,0.31,74.7,1,68
41,45,2,Urban,Marketing,0.35,0.45,0.52,0.45,0.64,0.46,0.72,Quality Time,0.8,42,2,Suburban,Finance,0.62,0.44,0.51,0.9,0.58,0.23,0.71,Physical Touch,0.81,67.1,1,48
42,24,3,Suburban,Tech,0.39,0.68,0.81,0.55,0.41,0.68,0.28,Receiving Gifts,0.72,48,3,Suburban,Entrepreneurship,0.65,0.54,0.51,0.46,0.13,0.1,0.65,Receiving Gifts,0.88,86.5,1,97
43,25,2,Urban,Healthcare,0.5,0.46,0.86,0.56,0.55,0.32,0.56,Acts of Service,0.66,38,4,Rural,Tech,0.56,0.68,0.31,0.69,0.36,0.58,0.73,Receiving Gifts,0.05,63.9,0,64
44,52,3,Suburban,Creative Arts,0.42,0.42,0.55,0.73,0.62,0.53,0.1,Acts of Service,0.29,36,3,Urban,Finance,0.14,0.15,0.76,0.44,0.62,0.58,0.62,Words of Affirmation,0.39,57.2,0,70
45,31,3,Urban,Education,0.68,0.59,0.51,0.73,0.4,0.14,0.38,Receiving Gifts,0.83,34,5,Suburban,Marketing,0.42,0.88,0.67,0.86,0.62,0.84,0.49,Quality Time,0.18,51.6,0,78
46,34,5,Rural,Entrepreneurship,0.63,0.71,0.51,0.54,0.22,0.72,0.53,Acts of Service,0.4,52,5,Suburban,Entrepreneurship,0.57,0.12,0.56,0.27,0.53,0.4,0.45,Receiving Gifts,0.8,63.8,0,62
47,53,3,Urban,Tech,0.4,0.37,0.36,0.54,0.12,0.57,0.74,Receiving Gifts,0.17,32,2,Suburban,Engineering,0.56,0.53,0.28,0.91,0.36,0.26,0.76,Acts of Service,0.44,65.6,1,69
48,21,4,Suburban,Entrepreneurship,0.49,0.68,0.37,0.69,0.47,0.05,0.72,Receiving Gifts,0.42,38,1,Urban,Education,0.4,0.4,0.69,0.85,0.67,0.28,0.43,Physical Touch,0.79,58.4,0,75
49,19,2,Suburban,Engineering,0.58,0.43,0.6,0.3,0.18,0.18,0.58,Quality Time,0.42,34,3,Urban,Law,0.44,0.43,0.67,0.62,0.69,0.62,0.16,Acts of Service,0.64,55.1,0,51
50,23,4,Urban,Science,0.62,0.52,0.28,0.45,0.87,0.85,0.42,Physical Touch,0.32,54,3,Urban,Finance,0.7,0.77,0.92,0.8,0.13,0.39,0.89,Quality Time,0.39,60.7,0,51
51,21,3,Suburban,Marketing,0.43,0.64,0.47,0.79,0.65,0.74,0.1,Receiving Gifts,0.77,32,2,Suburban,Marketing,0.52,0.32,0.11,0.62,0.64,0.5,0.37,Acts of Service,0.52,74.0,1,55
52,46,3,Suburban,Education,0.56,0.65,0.82,0.3,0.81,0.48,0.32,Receiving Gifts,0.33,30,1,Suburban,Healthcare,0.39,0.27,0.72,0.52,0.58,0.88,0.64,Words of Affirmation,0.12,68.8,1,54
53,35,4,Suburban,Law,0.65,0.74,0.72,0.72,0.17,0.45,0.84,Receiving Gifts,0.41,50,3,Urban,Entrepreneurship,0.56,0.6,0.52,0.23,0.54,0.19,0.4,Receiving Gifts,0.78,68.5,1,71
54,43,5,Suburban,Education,0.52,0.21,0.37,0.35,0.06,0.63,0.46,Acts of Service,0.73,39,1,Suburban,Healthcare,0.46,0.64,0.48,0.18,0.51,0.26,0.88,Physical Touch,0.32,58.4,0,72
55,51,1,Suburban,Entrepreneurship,0.3,0.74,0.23,0.84,0.55,0.84,0.27,Receiving Gifts,0.41,52,4,Urban,Law,0.62,0.32,0.09,0.14,0.99,0.58,0.53,Quality Time,0.45,48.2,0,60
56,27,4,Urban,Tech,0.5,0.56,0.7,0.6,0.47,0.14,0.76,Quality Time,0.56,49,3,Urban,Finance,0.44,0.72,0.06,0.27,0.16,0.82,0.6,Quality Time,0.29,71.8,1,94
57,53,5,Urban,Engineering,0.55,0.72,0.09,0.58,0.47,0.82,0.45,Words of Affirmation,0.63,40,3,Urban,Education,0.55,0.24,0.54,0.45,0.86,0.35,0.5,Physical Touch,0.8,77.1,1,89
58,31,2,Urban,Healthcare,0.33,0.59,0.45,0.55,0.62,0.37,0.79,Acts of Service,0.61,20,5,Suburban,Engineering,0.65,0.41,0.83,0.55,0.7,0.71,0.37,Quality Time,0.49,55.0,0,60
59,48,3,Urban,Entrepreneurship,0.71,0.32,0.57,0.64,0.48,0.77,0.62,Quality Time,0.54,49,3,Urban,Education,0.6,0.34,0.42,0.35,0.5,0.73,0.46,Acts of Service,0.36,67.8,1,51
60,32,4,Suburban,Tech,0.75,0.83,0.3,0.82,0.72,0.85,0.52,Quality Time,0.09,51,3,Urban,Tech,0.4,0.6,0.29,0.24,0.74,0.19,0.43,Words of Affirmation,0.78,53.2,0,53
61,25,5,Urban,Tech,0.42,0.35,0.25,0.35,0.65,0.37,0.47,Words of Affirmation,0.62,48,1,Suburban,Marketing,0.11,0.49,0.92,0.38,0.4,0.2,0.67,Receiving Gifts,0.48,56.7,0,66
62,31,5,Urban,Education,0.68,0.27,0.68,0.41,0.5,0.38,0.5,Receiving Gifts,0.6,48,3,Suburban,Education,0.21,0.7,0.43,0.81,0.52,0.46,0.41,Words of Affirmation,0.86,74.5,1,90
63,40,1,Suburban,Engineering,0.25,0.53,0.34,0.75,0.28,0.61,0.86,Acts of Service,0.61,28,2,Urban,Finance,0.64,0.61,0.09,0.39,0.46,0.56,0.32,Physical Touch,0.34,70.7,1,72
64,38,4,Suburban,Healthcare,0.69,0.51,0.67,0.52,0.65,0.71,0.8,Words of Affirmation,0.15,31,5,Urban,Education,0.82,0.6,0.35,0.79,0.37,0.47,0.17,Quality Time,0.38,63.6,0,70
65,33,3,Suburban,Entrepreneurship,0.32,0.63,0.18,0.59,0.47,0.53,0.89,Receiving Gifts,0.37,54,4,Suburban,Finance,0.53,0.69,0.11,0.61,0.22,0.78,0.65,Receiving Gifts,0.36,85.5,1,99
66,35,3,Urban,Engineering,0.6,0.11,0.68,0.81,0.62,0.76,0.5,Quality Time,0.48,52,2,Urban,Finance,0.47,0.71,0.86,0.51,0.44,0.51,0.47,Words of Affirmation,0.36,69.5,1,88
67,41,4,Rural,Tech,0.66,0.48,0.41,0.19,0.61,0.35,0.3,Acts of Service,0.65,47,2,Rural,Science,0.36,0.03,0.19,0.49,0.79,0.59,0.0,Acts of Service,0.53,66.1,1,68
68,43,4,Suburban,Science,0.41,0.44,0.15,0.51,0.62,0.47,0.63,Acts of Service,0.57,46,2,Rural,Finance,0.31,0.51,0.48,0.77,0.28,0.24,0.54,Physical Touch,0.34,60.2,0,69
69,42,3,Urban,Engineering,0.25,0.37,0.19,0.62,0.29,0.26,0.24,Words of Affirmation,0.53,53,4,Urban,Marketing,0.43,0.21,0.52,0.24,0.39,0.53,0.95,Words of Affirmation,0.85,51.8,0,53
70,46,3,Rural,Law,0.28,0.46,0.42,0.64,0.32,0.79,0.71,Quality Time,0.76,39,2,Suburban,Engineering,0.46,0.66,0.76,0.72,0.34,0.61,0.5,Physical Touch,0.54,60.3,0,80
71,32,3,Urban,Entrepreneurship,0.46,0.66,0.65,0.8,0.3,0.81,0.55,Words of Affirmation,0.86,48,3,Rural,Science,0.55,0.48,0.4,0.29,0.85,0.9,0.29,Physical Touch,0.24,43.6,0,20
72,18,2,Suburban,Healthcare,0.67,0.31,0.5,0.81,0.54,0.26,0.09,Receiving Gifts,0.32,45,4,Suburban,Engineering,0.47,0.38,0.79,0.51,0.31,0.68,0.76,Quality Time,0.67,59.2,0,97
73,42,3,Urban,Science,0.44,0.39,0.41,0.36,0.47,0.63,0.69,Acts of Service,0.15,26,2,Urban,Creative Arts,0.4,0.92,0.63,0.9,0.42,0.74,0.4,Acts of Service,0.86,57.7,0,70
74,24,4,Suburban,Education,0.55,0.5,0.75,0.57,0.75,0.9,0.22,Words of Affirmation,0.54,30,5,Urban,Engineering,0.72,0.53,0.39,0.58,0.64,0.64,0.93,Physical Touch,0.52,71.5,1,87
75,26,2,Suburban,Law,0.61,0.32,0.88,0.28,0.13,0.76,0.21,Words of Affirmation,0.54,44,4,Urban,Finance,0.43,0.03,0.79,0.53,0.56,0.84,0.06,Receiving Gifts,0.31,59.9,0,54
76,41,4,Urban,Creative Arts,0.76,0.86,0.14,0.37,0.45,0.16,0.84,Physical Touch,0.23,46,2,Urban,Marketing,0.7,0.52,0.77,0.1,0.45,0.59,0.87,Receiving Gifts,0.62,59.6,0,55
77,18,3,Suburban,Healthcare,0.22,0.21,0.43,0.19,0.84,0.37,0.1,Quality Time,0.89,51,1,Urban,Tech,0.38,0.38,0.11,0.18,0.36,0.38,0.89,Receiving Gifts,0.26,40.4,0,63
78,25,2,Urban,Education,0.06,0.67,0.4,0.6,0.31,0.64,0.78,Acts of Service,0.47,43,2,Urban,Healthcare,0.52,0.91,0.38,0.51,0.85,0.35,0.69,Acts of Service,0.04,85.2,1,87
79,41,1,Rural,Entrepreneurship,0.53,0.5,0.56,0.36,0.42,0.06,0.41,Words of Affirmation,0.4,32,4,Urban,Marketing,0.52,0.18,0.04,0.25,0.25,0.37,0.13,Physical Touch,0.4,67.8,1,77
80,28,3,Urban,Tech,0.54,0.28,0.3,0.75,0.3,0.26,0.57,Receiving Gifts,0.31,36,2,Urban,Education,0.45,0.37,0.09,0.7,0.36,0.75,0.75,Quality Time,0.45,80.1,1,86
81,34,3,Urban,Law,0.57,0.58,0.38,0.71,0.13,0.41,0.63,Physical Touch,0.19,22,3,Urban,Science,0.27,0.5,0.55,0.08,0.58,0.47,0.47,Quality Time,0.61,49.9,0,33
82,25,1,Rural,Science,0.39,0.21,0.36,0.49,0.5,0.87,0.05,Physical Touch,0.09,39,4,Rural,Healthcare,0.56,0.65,0.41,0.56,0.34,0.49,0.7,Receiving Gifts,0.41,59.3,0,82
83,52,3,Suburban,Finance,0.57,0.52,0.36,0.71,0.68,0.34,0.19,Receiving Gifts,0.19,35,2,Urban,Healthcare,0.39,0.64,0.9,0.52,0.41,0.6,0.3,Acts of Service,0.93,55.4,0,22
84,52,3,Urban,Tech,0.45,0.21,0.55,0.25,0.48,0.34,0.18,Words of Affirmation,0.14,48,4,Suburban,Healthcare,0.64,0.75,0.9,0.84,0.57,0.23,0.38,Acts of Service,0.55,41.3,0,52
85,50,5,Suburban,Marketing,0.72,0.33,0.94,0.57,0.25,0.35,0.48,Words of Affirmation,0.76,42,5,Urban,Tech,0.76,0.51,0.27,0.1,0.85,0.6,0.29,Receiving Gifts,0.67,57.7,0,53
86,22,2,Suburban,Education,0.46,0.28,0.67,0.62,0.29,0.46,0.52,Words of Affirmation,0.88,49,2,Rural,Marketing,0.41,0.74,0.89,0.57,0.77,0.47,0.5,Acts of Service,0.58,62.2,0,51
87,45,4,Urban,Entrepreneurship,0.6,0.83,0.67,0.67,0.42,0.4,0.57,Quality Time,0.76,32,5,Urban,Tech,0.83,0.76,0.41,0.12,0.87,0.33,0.28,Receiving Gifts,0.63,71.8,1,89
88,24,2,Urban,Healthcare,0.61,0.9,0.34,0.59,0.34,0.41,0.34,Words of Affirmation,0.15,55,3,Urban,Marketing,0.63,0.68,0.43,0.59,0.22,0.52,0.95,Physical Touch,0.59,61.4,0,83
89,26,2,Rural,Science,0.73,0.8,0.15,0.21,0.81,0.45,0.51,Physical Touch,0.66,22,4,Rural,Science,0.76,0.25,0.13,0.8,0.82,0.42,0.2,Acts of Service,0.17,66.0,1,56
90,25,1,Urban,Marketing,0.16,0.06,0.88,0.7,0.31,0.73,0.69,Words of Affirmation,0.22,46,5,Urban,Education,0.45,0.45,0.44,0.36,0.33,0.58,0.16,Physical Touch,0.63,46.4,0,34
91,29,1,Urban,Finance,0.35,0.65,0.35,0.57,0.04,0.39,0.32,Acts of Service,0.42,51,2,Urban,Education,0.47,0.33,0.31,0.34,0.75,0.43,0.75,Quality Time,0.21,75.2,1,81
92,51,2,Suburban,Science,0.49,0.75,0.76,0.62,0.39,0.63,0.72,Words of Affirmation,0.44,27,4,Urban,Law,0.47,0.7,0.65,0.47,0.11,0.73,0.65,Acts of Service,0.27,60.8,0,79
93,50,2,Urban,Healthcare,0.07,0.66,0.13,0.31,0.41,0.47,0.31,Quality Time,0.37,23,2,Suburban,Science,0.45,0.73,0.36,0.14,0.54,0.43,0.39,Acts of Service,0.66,60.5,0,54
94,40,1,Urban,Marketing,0.23,0.86,0.53,0.32,0.64,0.46,0.44,Receiving Gifts,0.29,39,5,Urban,Law,0.43,0.87,0.64,0.47,0.18,0.23,0.36,Words of Affirmation,0.69,67.1,1,88
95,41,4,Suburban,Entrepreneurship,0.33,0.84,0.93,0.71,0.3,0.74,0.52,Quality Time,0.97,45,2,Urban,Law,0.4,0.33,0.5,0.43,0.44,0.32,0.28,Words of Affirmation,0.32,47.5,0,65
96,54,3,Urban,Tech,0.49,0.59,0.52,0.63,0.55,0.3,0.46,Quality Time,0.07,55,3,Suburban,Engineering,0.64,0.09,0.2,0.59,0.25,0.36,0.84,Acts of Service,0.41,61.5,0,53
97,52,3,Urban,Healthcare,0.42,0.36,0.67,0.88,0.87,0.42,0.17,Acts of Service,0.82,32,3,Urban,Education,0.66,0.4,0.27,0.09,0.55,0.05,0.8,Receiving Gifts,0.46,50.3,0,34
98,39,2,Suburban,Tech,0.52,0.7,0.6,0.73,0.32,0.58,0.22,Words of Affirmation,0.69,18,2,Urban,Engineering,0.38,0.51,0.74,0.21,0.47,0.28,0.18,Quality Time,0.62,74.0,1,99
99,44,2,Suburban,Education,0.18,0.4,0.93,0.62,0.37,0.46,0.99,Quality Time,0.45,53,2,Urban,Science,0.17,0.82,0.58,0.84,0.6,0.42,0.47,Physical Touch,0.49,66.8,1,43
100,52,3,Urban,Law,0.6,0.34,0.34,0.72,0.77,0.92,0.22,Receiving Gifts,0.08,50,1,Urban,Education,0.47,0.31,0.59,0.71,0.77,0.7,0.73,Words of Affirmation,0.84,68.5,1,64
101,18,5,Suburban,Science,0.51,0.08,0.96,0.76,0.46,0.47,0.43,Receiving Gifts,0.74,22,3,Suburban,Finance,0.8,0.45,0.7,0.24,0.15,0.27,0.69,Words of Affirmation,0.26,54.7,0,61
102,52,3,Urban,Science,0.45,0.31,0.21,0.36,0.49,0.74,0.07,Acts of Service,0.39,52,3,Rural,Marketing,0.48,0.52,0.93,0.75,0.83,0.56,0.45,Words of Affirmation,0.85,34.9,0,46
103,54,1,Suburban,Finance,0.4,0.65,0.53,0.87,0.68,0.43,0.85,Words of Affirmation,0.89,24,4,Urban,Education,0.66,0.5,0.33,0.2,0.52,0.34,0.71,Quality Time,0.9,66.7,1,90
104,31,2,Urban,Creative Arts,0.68,0.94,0.25,0.78,0.86,0.37,0.33,Words of Affirmation,0.5,55,3,Suburban,Creative Arts,0.15,0.41,0.8,0.55,0.76,0.39,0.56,Quality Time,0.68,52.9,0,43
105,20,3,Urban,Engineering,0.68,0.52,0.69,0.56,0.4,0.26,0.13,Quality Time,0.5,32,1,Urban,Tech,0.4,0.9,0.33,0.18,0.78,0.68,0.51,Words of Affirmation,0.46,60.0,0,62
106,18,3,Urban,Education,0.7,0.51,0.43,0.7,0.26,0.05,0.55,Receiving Gifts,0.2,51,3,Rural,Engineering,0.48,0.28,0.62,0.6,0.61,0.47,0.7,Words of Affirmation,0.32,64.8,0,70
107,22,3,Suburban,Finance,0.58,0.38,0.07,0.52,0.63,0.31,0.46,Acts of Service,0.15,37,3,Suburban,Creative Arts,0.81,0.23,0.41,0.7,0.63,0.73,0.38,Physical Touch,0.48,58.5,0,89
108,43,3,Suburban,Finance,0.25,0.71,0.51,0.21,0.25,0.49,0.74,Words of Affirmation,0.86,55,2,Urban,Creative Arts,0.56,0.98,0.39,0.27,0.89,0.8,0.63,Words of Affirmation,0.28,76.7,1,113
109,31,3,Urban,Marketing,0.39,0.73,0.14,0.36,0.74,0.78,0.56,Acts of Service,0.62,45,4,Urban,Marketing,0.49,0.42,0.53,0.2,0.79,0.5,0.36,Acts of Service,0.81,68.9,1,66
110,44,4,Urban,Science,0.3,0.67,0.09,0.47,0.42,0.49,0.31,Quality Time,0.42,47,3,Suburban,Law,0.16,0.93,0.59,0.04,0.63,0.31,0.65,Acts of Service,0.61,62.0,0,78
111,26,2,Suburban,Engineering,0.61,0.26,0.8,0.85,0.51,0.58,0.2,Physical Touch,0.77,19,3,Suburban,Entrepreneurship,0.29,0.37,0.57,0.22,0.21,0.67,0.82,Acts of Service,0.71,66.1,1,84
112,32,1,Suburban,Entrepreneurship,0.59,0.37,0.17,0.61,0.31,0.7,0.37,Physical Touch,0.69,32,2,Rural,Marketing,0.42,0.24,0.6,0.38,0.37,0.39,0.39,Receiving Gifts,0.4,71.5,1,120
113,32,4,Urban,Creative Arts,0.45,0.61,0.27,0.75,0.21,0.4,0.56,Quality Time,0.39,41,5,Urban,Engineering,0.55,0.65,0.35,0.34,0.97,0.25,0.48,Physical Touch,0.87,53.6,0,26
114,43,3,Suburban,Entrepreneurship,0.62,0.59,0.62,0.79,0.48,0.75,0.48,Physical Touch,0.16,33,3,Urban,Marketing,0.57,0.27,0.15,0.37,0.57,0.29,0.19,Words of Affirmation,0.0,67.0,1,84
115,30,3,Suburban,Tech,0.47,0.59,0.72,0.54,0.25,0.53,0.59,Quality Time,0.37,37,4,Urban,Science,0.69,0.48,0.34,0.85,0.6,0.46,0.17,Words of Affirmation,0.25,57.4,0,63
116,49,4,Suburban,Marketing,0.67,0.18,0.81,0.84,0.36,0.43,0.67,Physical Touch,0.77,53,2,Suburban,Entrepreneurship,0.26,0.94,0.31,0.67,0.47,0.49,0.42,Physical Touch,0.61,95.7,1,120
117,49,5,Suburban,Finance,0.43,0.64,0.83,0.32,0.16,0.42,0.1,Receiving Gifts,0.64,30,3,Urban,Finance,0.29,0.12,0.21,0.39,0.49,0.28,0.5,Words of Affirmation,0.49,67.9,1,61
